"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro #","Basin #","Owner","Maintenance","Operator","Map #","Collect #","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"29P","TWENTYNINE PALMS","1975","34.127","-116.037","PALM SPRINGS","10","11801","0","0","40","48","0","SAN BERNARDINO","COLORADO R","National Weather Service","COLORADO RIVER","2"
"3RV","THREE RIVERS PH NO 1","1140","36.467","-118.867","VISALIA","7","9501","0","0","69","32","0","TULARE","KAWEAH R","Southern California Edison Company, Bishop","TULARE LAKE","2"
"ABR","AUBERRY 2 NW","2090","37.083","-119.5","AUBERRY","6","9001","0","0","40","25","0","FRESNO","SAN JOAQUIN R","National Weather Service","SAN JOAQUIN RIVER","2"
"ACT","ACTON ESCONDIDO CNYN","2960","34.5","-118.167","PALMDALE","9","11501","0","0","999","46","0","none specified","MOJAVE DESERT",".None Specified","SOUTH LAHONTAN","2"
"ADN","ADIN RS","4195","41.194","-120.944","ADIN","5","6701","0","0","44","5","0","MODOC","PIT R","US Forest Service","SACRAMENTO RIVER","2"
"AGL","ANGIOLA","205","36.0","-119.45","TULARE","6","9001","0","0","999","31","0","TULARE","SAN JOAQUIN R",".None Specified","SAN JOAQUIN RIVER","2"
"ALT","ALTURAS RS","4400","41.5","-120.55","ALTURAS","5","6701","0","0","44","5","0","MODOC","PIT R","US Forest Service","SACRAMENTO RIVER","2,45"
"ANA","SANTA ANA FIRE STA","135","33.75","-117.867","SANTA ANA","4","5701","0","0","40","54","0","ORANGE","SANTA ANA R","National Weather Service","SOUTH COAST","2"
"APP","ANTIOCH PUMP PLANT","60","37.984","-121.728","ANTIOCH","6","8101","0","0","97","23","0","CONTRA COSTA","DELTA","Contra Costa Water District","SAN JOAQUIN RIVER","2"
"APU","ANGWIN PACIFIC UNION COL","1815","38.5731","-122.4406","ST HELENA","2","1901","0","0","40","16","0","NAPA","NAPA R","National Weather Service","SAN FRANCISCO BAY","2"
"ARR","LAKE ARROWHEAD","5205","34.25","-117.183","SAN BERNARDINO","9","11501","0","0","40","47","0","SAN BERNARDINO","MOJAVE DESERT","National Weather Service","SOUTH LAHONTAN","2"
"ASM","ASH MOUNTAIN","1708","36.483","-118.833","THREE RIVERS","7","9501","0","0","53","32","0","TULARE","KAWEAH R","Sequoia and Kings Canyon National Parks","TULARE LAKE","2,45,203"
"ATW","ATWELL CAMP","6400","36.464","-118.631","SILVER CITY","7","9501","0","0","56","32","0","TULARE","KAWEAH R","US Army Corps of Engineers","TULARE LAKE","2,45"
"AUB","AUBURN","1292","38.917","-121.083","AUBURN","5","7701","0","0","40","17","0","PLACER","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2"
"BAL","BALCH PH (PG&E)","1720","36.909","-119.089","PIEDRA","7","9401","0","0","60","31","0","FRESNO","KINGS R","Pacific Gas & Electric","TULARE LAKE","2,12,14,16,30,31,32,36,45,203"
"BBE","BIG BEAR LAKE","6790","34.247","-116.891","SAN BERNARDINO","4","5701","0","0","40","48","0","SAN BERNARDINO","SANTA ANA R","National Weather Service","SOUTH COAST","2"
