STATION,ID,ELEV,LATITUDE,LONGITUDE,COUNTY,OPERATOR AGENCY
ELK VALLEY,ELK,1705,41.988041,-123.718338,DEL NORTE,USGS/DWR-DFM-Hydro-SMN
GASQUET RANGER STATION,GAS,384,41.845161,-123.965103,DEL NORTE,USGS/DWR-DFM-Hydro-SMN
SMITH RIVER AT DR FINE BRIDGE,DRF,63,41.880901,-124.136688,DEL NORTE,USGS/DWR-DFM-Hydro-SMN
KLAMATH RIVER AT ORLEANS,OLS,430,41.303459,-123.5345,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
SHASTA R BLW CTY RD A-12 NR GRENADA,SBG,2490,41.649071,-122.499168,SISKIYOU,CA Dept of Water Resources/North Region Office
MIDDLE BOULDER 3,MB3,6200,41.224838,-122.80616,SISKIYOU,US Bureau of Reclamation
SCOTT MOUNTAIN,SCT,5900,41.272202,-122.719482,SISKIYOU,US Bureau of Reclamation
PETERSON FLAT,PET,7150,41.302219,-122.527779,TRINITY,US Bureau of Reclamation
BONANZA KING,BNK,6450,41.083118,-122.631271,TRINITY,US Bureau of Reclamation
HIGHLAND LAKES,HIG,6030,41.091782,-122.491562,TRINITY,US Bureau of Reclamation
MUMBO BASIN,MUM,5650,41.197819,-122.525963,TRINITY,US Bureau of Reclamation
BIG FLAT,BFL,5100,41.077599,-122.94223,TRINITY,US Bureau of Reclamation
HOADLEY,HDL,4580,40.682999,-122.75,SHASTA,US Bureau of Reclamation
TRINITY GUARD STATION,TGS,4100,40.825001,-122.660004,TRINITY,US Bureau of Reclamation
TAYLOR RIDGE,TYR,4000,40.917,-122.817001,TRINITY,US Bureau of Reclamation
MUD SPRINGS,MUD,3400,40.712132,-123.289207,TRINITY,CA Dept of Water Resources/DFM-Hydro-SMN
COFFEE RIDGE,CFR,3040,41.083,-122.717003,TRINITY,US Bureau of Reclamation
COFFEE CREEK RANGER STATION,CFF,2503,41.089439,-122.708611,TRINITY,CA Dept of Water Resources/DFM-Hydro-SMN
TRINITY LAKE,CLE,2370,40.800999,-122.762001,TRINITY,US Bureau of Reclamation
WEAVERVILLE RS,WVR,2050,40.733002,-122.949997,TRINITY,US Forest Service
LEWISTON,LEW,1870,40.727001,-122.792999,TRINITY,US Bureau of Reclamation
LEWISTON FISH HATCHERY,LFH,1870,40.727001,-122.792999,TRINITY,US Bureau of Reclamation
BIG BAR,BGB,1270,40.733002,-123.199997,TRINITY,US Forest Service
TRINITY RIVER AT HOOPA,HPA,330,41.04985,-123.673668,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
O'KANE (BLUE LAKE),OKN,850,40.905964,-123.815338,HUMBOLDT,USGS/DWR
REDWOOD CREEK AT ORICK,ORK,36,41.29929,-124.051186,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
RUTH LAKE,RTH,2700,40.318539,-123.374001,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
RUTH DAM,RTD,2675,40.367001,-123.432999,TRINITY,Humboldt Bay Muncipal Water District
ZENIA,ZEN,4000,40.208401,-123.459793,TRINITY,CA Dept of Water Resources/DFM-Hydro-SMN
KETTENPOM,KET,3468,40.150002,-123.467003,TRINITY,CA Dept of Water Resources/Flood Management
RODEO VALLEY,RDO,2425,39.667,-123.32,MENDOCINO,CA Dept of Forestry and Fire Protection
SCOTT DAM,SCD,1807,39.408298,-122.958603,LAKE,Pacific Gas & Electric
COVELO,CLO,1487,39.826111,-123.084717,MENDOCINO,CA Dept of Water Resources/DFM-Hydro-SMN
SOUTH FORK EEL RIVER AT LEGGETT,LEG,747,39.874596,-123.720581,MENDOCINO,USGS/DWR-DFM-Hydro-SMN
EEL RIVER AT FORT SEWARD,FSW,320,40.218201,-123.63253,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
EEL RIVER SF NR MIRANDA (AT SYLVANDALE),MRD,218,40.181808,-123.776146,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
EUREKA WOODLEY ISLAND,ERK,20,40.799999,-124.167,HUMBOLDT,National Weather Service
BRIDGEVILLE,BGV,646,40.473881,-123.792809,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
VAN DUZEN R NR BRIDGEVILLE AT GRIZZLY CR,BRI,358,40.480415,-123.890877,HUMBOLDT,USGS/DWR
HONEYDEW,HNY,370,40.237499,-124.132217,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN
HAWKEYE,HKY,2000,38.727001,-122.839996,SONOMA,CA Dept of Forestry and Fire Protection
WILLITS HOWARD RS,WIL,1925,39.350601,-123.321701,MENDOCINO,CA Dept of Water Resources/DFM-Hydro-SMN
VENADO,VEN,1260,38.6087,-123.018059,SONOMA,CA Dept of Water Resources/DFM-Hydro-SMN
YORKVILLE,YOR,1100,38.904999,-123.23111,MENDOCINO,CA Dept of Water Resources/DFM-Hydro-SMN
POTTER VALLEY,PTV,1080,39.364399,-123.127197,MENDOCINO,US Army Corps of Engineers
POTTER VALLEY PH,PVP,1020,39.367001,-123.133003,MENDOCINO,Pacific Gas & Electric
COYOTE (LAKE MENDOCINO),COY,720,39.196999,-123.185997,MENDOCINO,US Army Corps of Engineers
SANTA ROSA (CDF),STA,560,38.479,-122.711998,SONOMA,CA Dept of Forestry and Fire Protection
WARM SPRINGS (USACE),WRS,440,38.723,-123.010002,SONOMA,US Army Corps of Engineers
SONOMA COUNTY AIRPORT (SANTA ROSA),SNO,114,38.503887,-122.81028,SONOMA,National Weather Service
RUSSIAN RIVER AT CLOVERDALE,CLV,107,38.879349,-123.053612,MENDOCINO,CA Dept of Water Resources/DFM-Hydro-SMN
POINT REYES,PTR,80,38.083,-122.949997,MARIN,National Weather Service
TOMASINI POINT,TMP,40,38.117001,-122.849998,MARIN,CA Dept of Health Services (Richmond)
LICHAU CREEK,LIC,600,38.317001,-122.633003,SONOMA,City of Petaluma
LIBERTY ROAD,LBR,100,38.283001,-122.699997,SONOMA,City of Petaluma
ANGWIN,ANG,1815,38.571201,-122.433197,NAPA,CA Dept of Water Resources/DFM-Hydro-SMN
ST. HELENA 4WSW,SH4,1729,38.493061,-122.539719,NAPA,CA Dept of Water Resources/DFM-Hydro-SMN
ATLAS PEAK,ATL,1660,38.428333,-122.248337,NAPA,CA Dept of Water Resources/DFM-Hydro-SMN
JOHNSON RANCH,JNR,2042,37.666698,-121.603996,ALAMEDA,San Joaquin County
OAKLAND SOUTH,OSO,1000,37.788101,-122.1436,ALAMEDA,Oakland Fire Services Agency
ORINDA FIRE STATION 43,ODA,700,37.89959,-122.170403,CONTRA COSTA,Contra Costa County
RODDY RANCH GOLF CLUB,RRG,403,37.923599,-121.785797,CONTRA COSTA,Contra Costa County
DUBLIN-SAN RAMON FIRE HOUSE,DBF,355,37.731998,-121.927002,CONTRA COSTA,Contra Costa County
